emr_facility_key,state_code,zip_code_3,facility_type,emr_client_key
6041.0,FL,,C,1007.0
6067.0,WA,,C,1002.0
5700.0,CA,913,C,898.0
5884.0,UT,,C,1001.0
5951.0,FL,,C,1001.0
6067.0,WA,,C,1001.0
6431.0,NV,895,O,931.0
5884.0,UT,,C,1046.0
6234.0,MI,,C,1058.0
5662.0,IN,479,O,906.0
5951.0,FL,,C,998.0
6034.0,TN,,C,1005.0
6321.0,TN,,C,999.0
5945.0,MD,,C,1001.0
5965.0,IL,,C,1042.0
6021.0,FL,,C,1001.0
6085.0,LA,,C,1001.0
6126.0,TN,,C,1005.0
6173.0,KY,,C,1054.0
6391.0,ME,041,C,1121.0
5945.0,MD,,C,1031.0
6047.0,IN,,C,1037.0
6085.0,LA,714,C,1006.0
5604.0,CT,069,C,928.0
5729.0,WI,498,C,954.0
6021.0,FL,,C,1028.0
6047.0,IN,,C,1001.0
5828.0,TX,,C,1029.0
6045.0,IN,,C,1037.0
5687.0,WA,993,C,969.0
6130.0,TN,,C,999.0
5828.0,TX,,C,1001.0
5839.0,AL,,C,1013.0
5924.0,AL,,C,1045.0
5578.0,WA,993,C,969.0
5924.0,AL,,C,1001.0
5962.0,IL,,C,1042.0
6043.0,IN,,C,1037.0
5846.0,TX,,C,979.0
5681.0,CA,928,C,898.0
5846.0,TX,,C,1001.0
6054.0,NJ,,C,980.0
6297.0,TN,,C,999.0
5782.0,WV,257,O,934.0
5843.0,CA,,C,1022.0
5920.0,GA,,C,993.0
5920.0,GA,,C,1001.0
6054.0,NJ,,C,1001.0
6209.0,NJ,,C,980.0
6371.0,CA,913,C,898.0
5589.0,WV,257,O,934.0
6039.0,TN,,C,1005.0
6043.0,IN,,C,1001.0
6131.0,TN,,C,999.0
6177.0,TX,,C,979.0
6408.0,NY,127,O,1122.0
6089.0,KY,,C,987.0
6179.0,KY,,C,1054.0
5676.0,MO,648,C,907.0
6323.0,FL,,C,1026.0
6029.0,TN,,C,1005.0
6094.0,FL,,C,998.0
5565.0,CA,945,O,942.0
5697.0,IL,618,O,935.0
5997.0,TN,,C,1005.0
6224.0,AR,,C,1020.0
5913.0,IN,,C,1003.0
5998.0,UT,,C,1046.0
6058.0,VA,,C,982.0
6436.0,AL,352,O,1125.0
5901.0,NJ,,C,1030.0
6121.0,NJ,194,C,1015.0
6148.0,PA,,C,985.0
5671.0,WV,415,C,904.0
6035.0,TN,,C,1005.0
6400.0,OK,731,C,1124.0
5585.0,CA,917,C,898.0
6144.0,WA,,C,1001.0
5866.0,VA,,C,982.0
6153.0,NJ,,C,992.0
5901.0,NJ,,C,1001.0
5913.0,IN,,C,1001.0
6028.0,TN,,C,1005.0
6120.0,IN,,C,1012.0
5889.0,UT,,C,1046.0
5931.0,TX,,C,1001.0
5934.0,UT,,C,1046.0
6063.0,WA,,C,1002.0
6072.0,TX,,C,994.0
6313.0,,,H,1113.0
5903.0,NC,,C,995.0
6075.0,TX,,C,994.0
5656.0,FL,327,C,960.0
5857.0,TX,,C,1036.0
5889.0,UT,,C,1001.0
5949.0,FL,,C,998.0
5903.0,NC,,C,1001.0
6063.0,WA,,C,1001.0
6096.0,GA,,C,1044.0
6155.0,PA,,C,988.0
5857.0,TX,,C,1001.0
5949.0,FL,,C,1001.0
6155.0,PA,,C,1001.0
6249.0,MI,483,O,926.0
5931.0,TX,,C,1036.0
6074.0,TX,,C,994.0
6135.0,TN,,C,999.0
5907.0,NC,,C,995.0
6092.0,NJ,,C,1051.0
6349.0,UT,846,O,1096.0
5886.0,UT,,C,1046.0
6010.0,CA,,C,1019.0
6092.0,NJ,,C,1001.0
6301.0,GA,305,O,953.0
5641.0,PA,193,O,901.0
6401.0,AL,352,O,1125.0
6117.0,UT,,C,1014.0
6163.0,TN,,C,999.0
6306.0,MI,480,O,926.0
6352.0,TX,770,O,1093.0
5838.0,AL,,C,1013.0
